date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:42	4170869/4170869	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://preview.colorlib.com/theme/yogabest/images/xabout.png.pagespeed.ic.cAeejAOJpn.png	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/images/xabout.png.pagespeed.ic.cAeejAOJpn.png	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:43	119422/119422	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Mar%202021%2013:13:46%20GMT	https://preview.colorlib.com/theme/yogabest/images/xclasses-1.jpg.pagespeed.ic.5co_yudooJ.jpg	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/images/xclasses-1.jpg.pagespeed.ic.5co_yudooJ.jpg	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:43	73813/73813	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Mar%202021%2013:13:44%20GMT	https://preview.colorlib.com/theme/yogabest/images/xclasses-2.jpg.pagespeed.ic.eydhx8MX3J.jpg	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/images/xclasses-2.jpg.pagespeed.ic.eydhx8MX3J.jpg	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:43	104369/104369	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Mar%202021%2013:13:41%20GMT	https://preview.colorlib.com/theme/yogabest/images/xclasses-3.jpg.pagespeed.ic.cZC14ynaA0.jpg	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/images/xclasses-3.jpg.pagespeed.ic.cZC14ynaA0.jpg	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:43	245124/245124	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Mar%202021%2013:13:21%20GMT	https://preview.colorlib.com/theme/yogabest/images/xclasses-4.jpg.pagespeed.ic.uddW-yZjYH.jpg	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/images/xclasses-4.jpg.pagespeed.ic.uddW-yZjYH.jpg	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:43	109124/109124	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Mar%202021%2013:13:19%20GMT	https://preview.colorlib.com/theme/yogabest/images/xclasses-5.jpg.pagespeed.ic.v91yMlVC0C.jpg	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/images/xclasses-5.jpg.pagespeed.ic.v91yMlVC0C.jpg	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:44	104030/104030	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Mar%202021%2013:13:22%20GMT	https://preview.colorlib.com/theme/yogabest/images/xclasses-6.jpg.pagespeed.ic.SMPoWwfnbe.jpg	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/images/xclasses-6.jpg.pagespeed.ic.SMPoWwfnbe.jpg	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:44	36090/36090	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Mar%202021%2013:13:18%20GMT	https://preview.colorlib.com/theme/yogabest/images/xperson_1.jpg.pagespeed.ic.P4pHl6glbj.jpg	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/images/xperson_1.jpg.pagespeed.ic.P4pHl6glbj.jpg	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:44	47939/47939	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Mar%202021%2013:13:16%20GMT	https://preview.colorlib.com/theme/yogabest/images/xperson_2.jpg.pagespeed.ic.yyrmjBH91b.jpg	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/images/xperson_2.jpg.pagespeed.ic.yyrmjBH91b.jpg	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:44	35096/35096	---M--	200	added ('OK')	image/jpeg	etag:%228918-5bcddf6a1bd20%22	https://preview.colorlib.com/theme/yogabest/images/person_3.jpg	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/images/person_3.jpg	(from https://preview.colorlib.com/theme/yogabest/index.html)
18:41:44	60797/60797	---M--	200	added ('OK')	image/jpeg	etag:%22ed7d-5bcddf7b3a93b%22	https://preview.colorlib.com/theme/yogabest/images/classes-7.jpg	C:/Users/samir/Desktop/code/SatwikYoga/SatwikYoga/preview.colorlib.com/theme/yogabest/images/classes-7.jpg	(from https://preview.colorlib.com/theme/yogabest/index.html)
